Email,Group,Year,Timestamp,Mentor_A,Mentor_B,Mentor_C,Mentor_D,Mentor_E,Mentor_F,Mentor_G,Mentor_H,Mentor_I,Mentor_J,Mentor_K,Mentor_L,Mentor_M,Mentor_N,Mentor_O,Mentor_P,Mentor_Q,Mentor_R,Mentor_S,Mentor_T,Mentor_U,Mentor_V,Mentor_W
robert.goldberg@domain.com,MoGen undergraduate student,5,2022-05-19 21:51:57,Interested,,Strongest interest,,,,,,,,,Strongest interest,Interested,,Strongest interest,Strong interest,,Strongest interest,,,Strong interest,Strongest interest,
alexander.payne@domain.com,MoGen research graduate student,1,2022-05-21 12:07:29,,,Strong interest,,,,,,,,,,,,Strong interest,,Strongest interest,,,Strongest interest,,,
irene.robertson@domain.com,MoGen research graduate student,3,2022-05-24 10:52:01,Strongest interest,Strongest interest,Strongest interest,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Strongest interest,Interested,Strong interest,Interested,Interested,Strong interest,Strong interest,Strong interest,Interested,Interested,Interested,Interested,Interested
heather.martin@domain.com,trainee at a department other than MoGen,5,2022-05-25 01:51:38,Strongest interest,Strong interest,,,,,,,,Interested,,,,,,,,,,Interested,,,
tina.wheeler@domain.com,MoGen research graduate student,4,2022-05-26 09:12:35,,Interested,,,,,,,,,Strongest interest,,,,Strong interest,,,,,,,,
moses.bergsma@domain.com,MoGen research graduate student,2,2022-05-26 11:55:07,Interested,Strong interest,Strong interest,,,,,,,,,,,,,Strongest interest,Strong interest,Strong interest,Strong interest,Strong interest,Strongest interest,,Interested
katherine.feenstra@domain.com,MoGen research graduate student,3,2022-05-27 15:42:58,,,,,,,,,,,,,,,,,Strongest interest,Strong interest,Interested,,,,
sylvia.jackson@domain.com,MoGen research graduate student,5,2022-05-27 15:43:49,,Strong interest,,,,,,,,,,,,,Strongest interest,Interested,,,,Strongest interest,,Interested,
ross.woodward@domain.com,MoGen research graduate student,6,2022-05-27 15:46:15,Interested,,Interested,,,,,,,,,Interested,Strong interest,Interested,Strong interest,Interested,,,,,Strongest interest,Strongest interest,Strongest interest
patricia.thacker@domain.com,MoGen research graduate student,2,2022-05-27 16:06:01,Strongest interest,,,,,,,,,,,,Strongest interest,Strongest interest,,Strongest interest,,,,,Interested,,
harold.davies@domain.com,trainee at a department other than MoGen,6,2022-05-27 16:06:08,,,,,,,,,,Strong interest,,,,,Strong interest,,Interested,Interested,,,,,
harold.smith@domain.com,MoGen research graduate student,1,2022-05-27 16:09:59,,Interested,,,,,,,Interested,,,,,,Strongest interest,Strongest interest,,,Strong interest,,Strongest interest,Strong interest,Strong interest
victoria.palladino@domain.com,MoGen MHSc student,4,2022-05-27 16:40:10,,Strong interest,,Strong interest,Strong interest,,,,,,,,,,,,Strongest interest,Strongest interest,Strongest interest,,,,
catherin.lopez@domain.com,postdoc,4,2022-05-27 17:30:06,,Strongest interest,,,,,,,,,Strongest interest,,,Strongest interest,Strongest interest,,,,,,,,
john.wight@domain.com,MoGen research graduate student,2,2022-05-27 17:32:03,Interested,Interested,Strong interest,Interested,Strongest interest,Interested,Interested,Interested,Interested,,Strongest interest,Strong interest,Interested,Interested,Strong interest,Strong interest,Strongest interest,Strongest interest,Strongest interest,Interested,Interested,Interested,Strong interest
geraldine.kinsinger@domain.com,MoGen research graduate student,6,2022-05-27 17:36:22,,,,,,,,,,,,,Interested,Interested,,,Strongest interest,Strong interest,Strong interest,,,,
patrick.whitlow@domain.com,MoGen research graduate student,1,2022-05-27 19:19:38,,,,,,,,,,Strongest interest,,,Interested,,Strongest interest,,,,,Strong interest,Interested,,
william.jump@domain.com,MoGen research graduate student,2,2022-05-27 22:22:47,,,Interested,,,,,,,,Interested,,Strong interest,,Strong interest,Strongest interest,,,,,Strong interest,Strongest interest,Strongest interest
margo.layman@domain.com,MoGen research graduate student,1,2022-05-27 23:33:55,,Strong interest,,,,,,,,,Strong interest,Strong interest,,Strong interest,Strongest interest,Strong interest,Strongest interest,Strongest interest,,,,,
jimmy.odermott@domain.com,MoGen MHSc student,4,2022-05-28 10:09:55,,,Strongest interest,,,,,,,,,Strong interest,Strongest interest,,,Strongest interest,Strong interest,Strong interest,Strongest interest,,,,Interested
ronald.riddle@domain.com,trainee at a department other than MoGen,2,2022-05-28 10:22:32,,,,,,,,,,,,,,,,Strongest interest,,Strongest interest,,,Strong interest,,Strong interest
brenda.phegley@domain.com,MoGen research graduate student,1,2022-05-28 11:09:15,,,Strongest interest,,,,,,,,,,,,Strongest interest,Strong interest,,,,,Strongest interest,Strongest interest,Strong interest
lorena.goza@domain.com,MoGen research graduate student,4,2022-05-28 11:45:06,,Strong interest,,Strong interest,,,Strongest interest,,Strongest interest,Strongest interest,Strong interest,,,,Strong interest,,,Strongest interest,,,,Strongest interest,
yvonne.balderas@domain.com,MoGen research graduate student,5,2022-05-28 13:37:44,Strongest interest,,Strong interest,,,,,,,,Interested,,Strong interest,,Strong interest,Strongest interest,Strong interest,,,,,,
john.nichols@domain.com,MoGen research graduate student,2,2022-05-28 17:20:43,,Strong interest,Strongest interest,,,,,,,,Strongest interest,Strongest interest,,Strongest interest,Strongest interest,Strongest interest,,,,,,Strong interest,Strong interest
al.graf@domain.com,MoGen research graduate student,3,2022-05-28 22:29:30,,,,,,,,,,,,,,,,,Strong interest,Strongest interest,Strongest interest,,Strongest interest,Interested,
edward.perez@domain.com,MoGen research graduate student,3,2022-05-29 14:35:48,,,,,,,,,,,,,Strongest interest,,,,Strongest interest,Strongest interest,Strongest interest,,,,
marilyn.peckenpaugh@domain.com,Graduating undergraduate student from a non-MoGen program (HMB & CSB),4,2022-05-29 18:05:56,,,,,,,,Strongest interest,Strongest interest,,,,,Strongest interest,Strongest interest,Strongest interest,,,,,Strongest interest,,
carlos.manning@domain.com,trainee at a department other than MoGen,4,2022-05-29 20:06:44,Strongest interest,,,,,,,,,,,,Strong interest,,Strong interest,Strong interest,,,,,,,
jean.thompson@domain.com,MoGen research graduate student,6,2022-05-29 20:13:36,,,,Strongest interest,,,,,Strongest interest,,Interested,,Strong interest,,Strongest interest,,,,Strong interest,,,,Strongest interest
amber.huppert@domain.com,MoGen research graduate student,4,2022-05-29 20:22:38,Strong interest,,,,,,,,,,,,,Strongest interest,Strong interest,Strongest interest,,,,,,Interested,Strong interest
edward.duck@domain.com,MoGen research graduate student,4,2022-05-29 23:20:53,Interested,,,,,,Interested,Interested,,Interested,,,Strong interest,Interested,,Strong interest,,,,Interested,Strongest interest,Strong interest,Strong interest
lona.scott@domain.com,MoGen research graduate student,2,2022-05-30 05:22:04,Strong interest,Strong interest,Interested,,,Interested,,,,,,,Strong interest,Interested,,Strongest interest,,,,,Strong interest,Interested,Strong interest
manuel.smith@domain.com,MoGen research graduate student,1,2022-05-30 09:16:11,Interested,,Interested,,,,,,,,,,,,,Strong interest,Strongest interest,,,,,,
raymond.lawrence@domain.com,trainee at a department other than MoGen,6,2022-05-30 09:45:03,Strong interest,,Strong interest,,,,,,,,Strong interest,,,,,Strong interest,,,,,,,
catalina.bica@domain.com,MoGen research graduate student,5,2022-05-30 11:41:12,,Strong interest,,,Strong interest,,,,,,,,,,,,,Strongest interest,,,,,Interested
julia.deoliveira@domain.com,MoGen research graduate student,1,2022-05-30 11:52:01,Strong interest,Strongest interest,,Strong interest,,,,,Strong interest,Strong interest,Strongest interest,,Strongest interest,Strong interest,Strongest interest,Strongest interest,,,,Strongest interest,Strongest interest,Strongest interest,Strongest interest
lawrence.jones@domain.com,MoGen undergraduate student,3,2022-05-30 13:16:04,Strongest interest,Interested,Strongest interest,,,,,,,,,,Strongest interest,,,,Interested,,,,,,
john.etheridge@domain.com,MoGen research graduate student,5,2022-05-30 15:08:36,,Interested,Interested,Strongest interest,,Strongest interest,,,Strong interest,,Interested,,,,,Strong interest,Strong interest,,Interested,Strong interest,,,Interested
pia.wallace@domain.com,MoGen research graduate student,4,2022-05-30 17:10:18,,,,,Interested,,,,,,,,,,,Strong interest,Strong interest,Strongest interest,,,,,
yasmin.cassidy@domain.com,Mogen MHSc alumna,2,2022-05-30 19:50:50,Strongest interest,Strongest interest,Strong interest,Interested,,,Strong interest,,Strong interest,,Strong interest,,,,,Strongest interest,Strongest interest,Strongest interest,Interested,,,,Interested
phyllis.wallace@domain.com,MoGen MHSc student,6,2022-05-31 01:49:26,Strong interest,,,,,Strongest interest,,,,,,,,,Strong interest,Strong interest,,,,,,,
doris.boatright@domain.com,MoGen MHSc student,2,2022-05-31 10:08:03,Interested,,,,,,,,,,,,,,,,Strong interest,Strongest interest,Interested,,,,
ann.jones@domain.com,MoGen research graduate student,2,2022-05-31 12:26:12,,,,,,,,,Strong interest,,,Strong interest,Strongest interest,Strong interest,Strongest interest,,,Interested,,Interested,Strong interest,,
todd.fair@domain.com,postdoc,5,2022-05-31 14:12:41,,,Strong interest,,Strongest interest,Strongest interest,Strong interest,Strong interest,Strongest interest,Strong interest,,,,,,,,,,,Strongest interest,,Strongest interest
charlie.castillo@domain.com,MoGen research graduate student,3,2022-05-31 21:09:57,Strong interest,Strong interest,Strongest interest,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Strong interest,Strongest interest,Strongest interest,Strongest interest,Strongest interest,Strong interest,Interested,Interested,Strong interest,Interested,Strong interest,Strong interest,Strong interest
stanley.flores@domain.com,MoGen research graduate student,6,2022-05-31 21:09:59,Strongest interest,,Interested,,,,,,,,,,,,,Strong interest,,Strong interest,Interested,,,,
roberta.kennedy@domain.com,MoGen research graduate student,2,2022-05-31 21:13:31,Strong interest,,,,Strong interest,,,,,,Strongest interest,,Strongest interest,,Strongest interest,,,Strong interest,,,,,Strongest interest
christopher.mcclellan@domain.com,MoGen research graduate student,1,2022-05-31 21:18:55,Interested,,,,,,,,,,,Interested,,Strongest interest,,Interested,,,,,,,Interested
angela.rogers@domain.com,MoGen research graduate student,5,2022-05-31 21:27:38,,,Strong interest,,,,,,Strongest interest,,,,,,,Strongest interest,,,,Interested,Strongest interest,,Strongest interest
larry.phipps@domain.com,MoGen MHSc student,5,2022-05-31 21:28:58,,,Strongest interest,,,,,,,,Strong interest,,,,,Interested,,,,,,,
john.embrey@domain.com,MoGen research graduate student,2,2022-05-31 21:35:17,,Strongest interest,Strongest interest,,,,,,,,,,,,,Strongest interest,Strong interest,Strong interest,,,,,
bradley.curtis@domain.com,MoGen undergraduate student,5,2022-05-31 21:42:50,Interested,,,,,,,,,,,,Interested,,Interested,Interested,,,,,,,
donald.cummings@domain.com,MoGen research graduate student,5,2022-05-31 21:43:45,Strong interest,Strongest interest,Strong interest,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Strongest interest,Strong interest,Strong interest,Interested,Interested,Strong interest,Interested,Interested,Interested,Interested,Interested,Interested,Interested
latonya.dacruz@domain.com,MoGen undergraduate student,6,2022-05-31 21:44:06,,,,,,,Strongest interest,Strong interest,Strongest interest,,,,Strong interest,,Strong interest,,Strongest interest,Strongest interest,,Strongest interest,Strongest interest,Strongest interest,Strongest interest
david.grant@domain.com,MoGen research graduate student,2,2022-05-31 21:54:43,,,,,,,Strongest interest,,,,,,,,Strongest interest,,,,,,Strongest interest,,Strongest interest
natalie.bishop@domain.com,MoGen research graduate student,6,2022-05-31 22:02:46,,,Strong interest,,,,,,,,,,,,,Strong interest,,,,,Strong interest,Strong interest,
eileen.hall@domain.com,MoGen research graduate student,5,2022-05-31 22:28:01,,,,,,,,,,,,,Strong interest,,,Strong interest,,,,,Strong interest,,Strong interest
estela.frutchey@domain.com,MoGen research graduate student,3,2022-05-31 22:42:29,Strong interest,Interested,Strong interest,,,,,,,,Interested,,,Interested,,Strongest interest,,,,,,,
leslie.norman@domain.com,trainee at a department other than MoGen,3,2022-05-31 22:59:57,,,Interested,,,,,,,,Strong interest,,,,,Strong interest,Strongest interest,Strongest interest,Strongest interest,,,,
joy.fuller@domain.com,MoGen research graduate student,4,2022-05-31 23:15:03,,,Strong interest,Interested,,,,,,,,,,,,,Strongest interest,Strongest interest,Strong interest,,,,
lisa.sargent@domain.com,MoGen research graduate student,2,2022-05-31 23:31:05,,Strongest interest,,,,,,,,,Strongest interest,,,,Interested,,,,,,Strong interest,,
marjorie.lam@domain.com,MoGen research graduate student,3,2022-05-31 23:55:36,,,,,,,,,,,Strongest interest,Strong interest,,Interested,,,,,,,,,
lawrence.smith@domain.com,MoGen research graduate student,3,2022-06-01 02:10:15,Interested,Strong interest,Interested,Strong interest,Interested,Interested,Interested,Interested,Interested,Interested,Strongest interest,Interested,Strong interest,Interested,Strongest interest,Strongest interest,Interested,Interested,Interested,Interested,Strongest interest,Strongest interest,Strong interest
viola.woods@domain.com,MoGen research graduate student,2,2022-06-01 02:18:47,,,,Strongest interest,,,Strongest interest,Strongest interest,,,,,Strongest interest,,,Strongest interest,,,,,Strongest interest,,Strongest interest
mary.fagan@domain.com,MoGen research graduate student,6,2022-06-01 05:34:56,Strong interest,,Strong interest,,,,,,,,Interested,,Interested,Interested,Interested,Strongest interest,,,Interested,,Strong interest,,Interested
paul.canady@domain.com,MoGen research graduate student,2,2022-06-01 08:37:10,Strong interest,,,,,,,,,,,,,,,Strongest interest,Strong interest,Strongest interest,,,,,
linda.lee@domain.com,postdoc,1,2022-06-01 08:50:30,Strongest interest,,,,,,,,,,,,Strongest interest,Strongest interest,Strongest interest,Strongest interest,,,,,Strongest interest,Strongest interest,Strongest interest
gracie.dandrea@domain.com,MoGen research graduate student,6,2022-06-01 09:58:58,Interested,Strong interest,Strong interest,,,,,,,,Strong interest,,,Interested,Interested,Strong interest,Strongest interest,Strongest interest,Interested,,Interested,Interested,Interested
erline.mendoza@domain.com,MoGen research graduate student,1,2022-06-01 10:15:16,Interested,,,,,,,,,,,,Strongest interest,Strong interest,Strong interest,Strongest interest,,,,,,,
russell.pope@domain.com,MoGen research graduate student,4,2022-06-01 10:23:19,,,,,,,,,,,,,,,,Strong interest,Strongest interest,Strongest interest,,,,,Strong interest
buck.carpenter@domain.com,postdoc,1,2022-06-01 10:34:01,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Interested,Interested,Interested,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest
ruth.hawkins@domain.com,MoGen research graduate student,6,2022-06-01 11:12:11,,,Interested,,,,,,,,Interested,,,,,Interested,,Strongest interest,,,,Interested,Strong interest
easter.hawkins@domain.com,MoGen MHSc student,5,2022-06-01 11:14:39,,,Strong interest,,,,,,,,,,Strong interest,,Strongest interest,,Strongest interest,Strongest interest,Strong interest,,Strongest interest,,
roxanne.battaglia@domain.com,MoGen research graduate student,2,2022-06-01 12:38:28,Interested,Strongest interest,Strong interest,Strongest interest,Strongest interest,Strongest interest,Strongest interest,Strongest interest,Strongest interest,Strong interest,Strong interest,Interested,Interested,Strong interest,Strong interest,Strongest interest,Strong interest,Strongest interest,Interested,Strongest interest,Strong interest,Strong interest,Interested
xavier.streit@domain.com,MoGen research graduate student,5,2022-06-01 14:00:59,,,Interested,,,,,Strongest interest,Interested,,,Interested,,Interested,Interested,Strongest interest,,,,,,,
susan.banks@domain.com,MoGen research graduate student,1,2022-06-01 14:30:32,,,,,,,,,,,,Strong interest,,,Strong interest,Strong interest,,,,,Strong interest,,
annette.ottrix@domain.com,MoGen research graduate student,6,2022-06-01 14:55:16,Strongest interest,,Strong interest,Strongest interest,Strong interest,Interested,,,Strong interest,,Strongest interest,,Strong interest,,Strong interest,Strongest interest,,Interested,,,Interested,Interested,Interested
alex.adams@domain.com,MoGen research graduate student,3,2022-06-01 15:07:17,,,,Strongest interest,,,,,Strong interest,,,,Strong interest,,,,,,,,,Interested,
brent.evans@domain.com,trainee at a department other than MoGen,4,2022-06-01 15:57:21,Strongest interest,Strong interest,Strong interest,,,,,,,Interested,,,,Strong interest,Strong interest,,,,,,,,
joe.pinard@domain.com,MoGen research graduate student,1,2022-06-01 16:25:12,Strongest interest,Strong interest,Strong interest,,,,,,,,,,,Interested,Strong interest,,,,,,Strong interest,Strongest interest,Strongest interest
david.lipford@domain.com,MoGen research graduate student,3,2022-06-01 18:40:09,Strong interest,,,,,,,,,,,,Strong interest,,,Strong interest,,,,,Strong interest,,
james.nelson@domain.com,MoGen research graduate student,2,2022-06-01 20:21:39,Strongest interest,Strong interest,Strong interest,Interested,Interested,Strong interest,Strong interest,Strong interest,Strong interest,Strong interest,Interested,,Strongest interest,Interested,Strongest interest,Strongest interest,Strong interest,Strong interest,Strongest interest,,Strongest interest,Strong interest,Strong interest
elton.cook@domain.com,postdoc,2,2022-06-02 01:21:45,Interested,Interested,Strong interest,Interested,,,,,,,Interested,,,Interested,Interested,Strong interest,Strong interest,Strongest interest,Interested,,,,
jerry.sanchez@domain.com,MoGen research graduate student,6,2022-06-02 09:55:03,,Strongest interest,Strongest interest,Strongest interest,,Strongest interest,,,Strongest interest,,Strongest interest,,,,,Strongest interest,Strongest interest,Strongest interest,,,,,
jerry.grimes@domain.com,MoGen research graduate student,4,2022-06-02 11:48:03,Strong interest,,,Strongest interest,,,,,,,,,Strong interest,Interested,Strongest interest,Strongest interest,,,,,Strong interest,,
carol.sofia@domain.com,MoGen research graduate student,5,2022-06-03 08:31:37,Interested,Strong interest,Interested,Interested,Interested,Interested,Interested,Interested,Strong interest,Interested,Interested,Interested,Interested,Interested,Strong interest,Strongest interest,Strongest interest,Strongest interest,Interested,Interested,Strongest interest,Strong interest,Strong interest
david.hamilton@domain.com,MoGen research graduate student,2,2022-06-03 09:54:29,,,,Strongest interest,,,Strongest interest,,Strongest interest,,,,,,,Strongest interest,Strongest interest,Strongest interest,,,Strongest interest,,
allen.nguyen@domain.com,MoGen undergraduate student,5,2022-06-03 10:33:45,,,,Strongest interest,Strong interest,,Strong interest,,,,,,Interested,Strong interest,,,,,,,,,
annie.panebianco@domain.com,MoGen research graduate student,4,2022-06-03 17:12:49,,,,,,,,,,,Strongest interest,,,,Strong interest,Strongest interest,,,,,,Strongest interest,Strongest interest
